"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3031","Login Test with CSV Data: Invalid login @datadriven","chromium","Fri Oct 17 13:40:50 WEST 2025","passed","Fri Oct 17 13:40:53 WEST 2025","","LoginDataDriven.spec.ts","",""
"","9961","User login test @master @sanity @regression","chromium","Fri Oct 17 13:40:32 WEST 2025","passed","Fri Oct 17 13:40:42 WEST 2025","","Login.spec.ts","",""
"","1922","Product search test @master @regression","chromium","Fri Oct 17 13:41:03 WEST 2025","passed","Fri Oct 17 13:41:05 WEST 2025","","SearchProduct.spec.ts","",""
"","16299","User registration test @master @sanity @regression","chromium","Fri Oct 17 13:39:58 WEST 2025","passed","Fri Oct 17 13:40:14 WEST 2025","","AccountRegistration.spec.ts","",""
"","12870","execute end-to-end test flow @end-to-end","chromium","Fri Oct 17 13:40:19 WEST 2025","passed","Fri Oct 17 13:40:32 WEST 2025","","EndToEndTest.spec.ts","",""
"","2708","Login Test with CSV Data: Invalid login with non-existent credentials @datadriven","chromium","Fri Oct 17 13:40:48 WEST 2025","passed","Fri Oct 17 13:40:50 WEST 2025","","LoginDataDriven.spec.ts","",""
"","2516","Login Test with JSON Data: Invalid login with non-existent credentials @datadriven","chromium","Fri Oct 17 13:40:42 WEST 2025","passed","Fri Oct 17 13:40:45 WEST 2025","","LoginDataDriven.spec.ts","",""
"","8688","User logout test @master @regression","chromium","Fri Oct 17 13:40:54 WEST 2025","passed","Fri Oct 17 13:41:02 WEST 2025","","Logout.spec.ts","",""
"","2565","Login Test with JSON Data: Invalid login @datadriven","chromium","Fri Oct 17 13:40:45 WEST 2025","passed","Fri Oct 17 13:40:47 WEST 2025","","LoginDataDriven.spec.ts","",""
"","3336","Add product to cart test @master @regression","chromium","Fri Oct 17 13:40:15 WEST 2025","passed","Fri Oct 17 13:40:18 WEST 2025","","AddToCart.spec.ts","",""
